testcase,loc,median_elapsed_time,median_power,median_energy_consumed
com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypeWithVariableTypeDeserialization,12,16.161644,11.901643,191.270264
com.google.gson.JsonObjectTest#testSize,10,16.07215,11.916472,191.523331
com.google.gson.stream.JsonReaderPathTest#skipObjectValues,13,15.961405,11.842041,188.244324
com.google.gson.JsonArrayTest#testSet,22,16.086999,11.837547,190.430603
com.google.gson.JsonObjectTest#testEntrySet,41,16.079944,11.903579,191.141357
com.google.gson.stream.JsonReaderPathTest#skipObjectNames,10,16.064765,11.864361,190.598175
com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypeWithCustomSerializer,15,15.998015,11.901558,191.44838
com.google.gson.functional.ReflectionAccessFilterTest#testAllowForSupertype,23,15.975486,11.861757,189.49733
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateFormatWithMilliseconds,7,16.159427,11.853179,190.261826
com.google.gson.functional.ReflectionAccessFilterTest#testBlockInaccessibleInterface,15,16.049926,11.856014,190.288147
com.google.gson.functional.GsonVersionDiagnosticsTest#testVersionPattern,4,16.084092,11.868115,190.887863
com.google.gson.functional.VersioningTest#testVersionedGsonMixingSinceAndUntilDeserialization,19,15.861865,11.844497,187.733047
com.google.gson.stream.JsonReaderPathTest#arrayOfArrays,27,15.955504,11.835827,188.913284
com.google.gson.JsonArrayTest#testDoublePrimitiveAddition,14,16.087519,11.929285,192.471268
com.google.gson.functional.ParameterizedTypesTest#testGsonFromJsonTypeToken,29,16.145144,11.852582,191.361633
com.google.gson.functional.Java17RecordTest#testFieldNamingStrategy,6,14.705677,11.865676,174.492798
com.google.gson.functional.ParameterizedTypesTest#testDeepParameterizedTypeDeserialization,8,16.071751,11.905381,191.052338
com.google.gson.functional.Java17RecordTest#testJsonAdapterAnnotation,24,14.95518,11.862465,177.405289
com.google.gson.internal.JavaVersionTest#testJava6,3,16.080449,11.867108,190.764847
com.google.gson.functional.GsonVersionDiagnosticsTest#testAssertionErrorInSerializationPrintsVersion,9,15.76466,11.937117,189.188629
com.google.gson.graph.GraphAdapterBuilderTest#testDeserializationWithMultipleTypes,14,15.553339,11.865527,185.282227
com.google.gson.JsonArrayTest#testStringPrimitiveAddition,9,15.867809,11.887775,188.999481
com.google.gson.functional.ReflectionAccessTest#testSerializeInternalImplementationObject,16,16.069015,11.855644,191.85791
com.google.gson.functional.Java17RecordTest#testExposeAnnotation,8,14.667648,11.857831,173.129349
com.google.gson.stream.JsonReaderPathTest#skipArrayEnd,10,15.784065,11.899759,187.973679
com.google.gson.JsonObjectTest#testWritePropertyWithEmptyStringName,5,16.044217,11.877227,189.740158
com.google.gson.internal.JavaVersionTest#testGetMajorJavaVersion,3,15.948349,11.920437,190.111282
com.google.gson.internal.ConstructorConstructorTest#testGet_Interface,10,16.014342,11.91972,190.671692
com.google.gson.stream.JsonReaderPathTest#objectPath,47,15.96619,11.917399,189.992584
com.google.gson.FieldNamingPolicyTest#testLowerCasingLocaleIndependent,20,15.929371,11.876116,189.023407
com.google.gson.functional.Java17RecordTest#testPrimitiveJsonNullValue,5,14.871709,11.862367,175.051285
com.google.gson.JsonArrayTest#testMixedPrimitiveAddition,14,15.773975,11.809809,186.993027
com.google.gson.JsonArrayAsListTest#testContains,10,16.412069,11.943885,196.023865
com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypeDeserialization,12,16.09154,11.865982,191.925797
com.google.gson.JsonArrayTest#testEqualsOnEmptyArray,3,15.887252,11.84661,187.688065
com.google.gson.stream.JsonReaderPathTest#multipleTopLevelValuesInOneDocument,13,15.909434,11.82224,187.899643
com.google.gson.functional.ReflectionAccessFilterTest#testBlockInaccessibleJava,21,16.047858,11.857229,190.17807
com.google.gson.JsonParserParameterizedTest#testParse,5,16.292864,11.870517,194.710861
